,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
349,Imbituba,-28.24,-48.6703,80.49,81,100,4.27,BR,1644090750
350,Quatre Cocos,-20.2078,57.7625,80.1,83,100,18.12,MU,1644090556
351,Sur,22.5667,59.5289,72.03,54,0,7.02,OM,1644090751
352,Port Hueneme,34.1478,-119.1951,76.46,18,0,20.71,US,1644090751
353,Port Blair,11.6667,92.75,78.84,89,20,2.3,IN,1644090752
354,Skibbereen,51.55,-9.2667,52.11,85,100,31.74,IE,1644090752
355,Tucuman,-26.8241,-65.2226,84.2,51,40,5.75,AR,1644090752
356,Marsa Matruh,31.3525,27.2453,52.0,82,75,5.75,EG,1644090753
357,Waynesville,35.4887,-82.9887,43.72,38,0,4.32,US,1644090753
358,Turayf,31.6725,38.6637,43.05,93,40,11.5,SA,1644090753
359,Saryozek,44.3583,77.9753,27.12,46,0,13.89,KZ,1644090754
360,Pirai,-22.6292,-43.8981,88.68,90,100,0.89,BR,1644090754
361,Pasir Gudang,1.4584,103.8805,79.12,88,75,6.91,MY,1644090754
362,Boysun,38.2061,67.1986,39.58,91,100,6.4,UZ,1644090755
363,Mar Del Plata,-38.0023,-57.5575,64.09,97,100,5.99,AR,1644090551
364,Esna,25.2934,32.554,55.42,44,0,13.65,EG,1644090756
365,Nuuk,64.1835,-51.7216,7.88,71,100,10.0,GL,1644090756
366,Dauphin,51.1494,-100.0502,-2.06,78,100,3.44,CA,1644090757
367,Sambava,-14.2667,50.1667,76.62,88,100,4.18,MG,1644090757
368,Port Lincoln,-34.7333,135.8667,68.09,75,99,16.55,AU,1644090544
369,Galveston,29.3669,-94.9669,52.12,40,2,4.0,US,1644090758
370,Pervomayskiy,53.2485,40.2871,-3.59,100,78,4.59,RU,1644090758
371,Zapolyarnyy,69.4154,30.8136,16.88,90,99,13.67,RU,1644090758
372,Terney,45.0503,136.6092,2.48,80,78,13.71,RU,1644090224
373,Westport,41.1415,-73.3579,29.55,61,75,3.0,US,1644090228
374,Shagonar,51.5333,92.8,-20.81,98,89,2.73,RU,1644090759
375,Pirovskoye,57.6267,92.2658,17.83,94,100,9.64,RU,1644090759
376,Khuzhir,53.1939,107.3397,12.83,92,99,4.09,RU,1644090760
377,Albion,42.2431,-84.753,24.85,66,0,5.75,US,1644090657
378,Victoria,22.2855,114.1577,60.33,82,100,1.01,HK,1644090760
379,Sao Filipe,14.8961,-24.4956,74.1,67,0,10.33,CV,1644090208
380,Luderitz,-26.6481,15.1594,68.09,78,97,3.49,NA,1644090761
381,Codrington,-38.2667,141.9667,55.38,89,55,8.95,AU,1644090761
382,Ca Mau,9.1769,105.15,76.28,69,50,7.27,VN,1644090761
383,La Palma,33.8464,-118.0467,75.16,19,20,1.99,US,1644090762
384,Adamas,36.7333,24.4333,55.76,63,46,1.05,GR,1644090762
385,Kristiansund,63.1115,7.732,37.45,60,40,6.91,NO,1644090762
386,Talaja,21.35,72.05,66.69,52,0,7.99,IN,1644090763
387,Porto Velho,-8.7619,-63.9039,84.25,70,40,5.75,BR,1644090763
388,Hartselle,34.4434,-86.9353,41.83,64,0,9.53,US,1644090763
389,Muisne,0.6,-80.0333,82.51,87,82,7.36,EC,1644090764
390,Lazaro Cardenas,17.9583,-102.2,82.81,53,0,9.73,MX,1644090764
391,Akdepe,42.0551,59.3788,42.89,85,100,18.34,TM,1644090181
392,Arraias,-12.9288,-46.9437,76.59,85,99,2.06,BR,1644090765
393,Batagay-Alyta,67.8006,130.4114,-25.69,99,95,3.38,RU,1644090765
394,Monrovia,6.3005,-10.7969,82.17,83,9,9.48,LR,1644090766
395,Shingu,33.7333,135.9833,38.91,63,68,12.06,JP,1644090766
396,Atbasar,51.8,68.3333,7.74,82,98,8.88,KZ,1644090767
397,Pacific Grove,36.6177,-121.9166,65.77,45,0,3.0,US,1644090767
398,Bundibugyo,0.7414,30.0417,74.84,48,100,2.37,UG,1644090767
399,Emba,48.8264,58.1442,22.21,94,100,5.12,KZ,1644090768
400,Rehoboth,-23.3167,17.0833,72.05,61,100,11.95,NA,1644090768
401,Saiha,22.4833,92.9667,54.95,100,98,1.05,IN,1644090768
402,Kysyl-Syr,63.8986,122.7617,-24.56,100,98,1.72,RU,1644090769
403,Malakal,9.5334,31.6605,76.12,15,51,10.22,SS,1644090769
404,Aracuai,-16.8497,-42.0703,79.92,80,97,3.06,BR,1644090590
405,Kibaya,-5.3,36.5667,58.89,90,100,3.27,TZ,1644090770
406,Seminole,28.7086,-81.2081,62.62,80,100,1.01,US,1644090770
407,Colinas,-6.0258,-44.2492,82.54,81,29,1.34,BR,1644090494
408,Sudak,44.85,34.9667,38.08,87,100,6.67,UA,1644090771
409,Roma,43.2128,-75.4557,18.86,56,0,19.57,US,1644090771
410,Jalu,29.0331,21.5482,56.89,47,0,3.47,LY,1644090259
411,Hailar,49.2,119.7,-9.92,92,95,4.88,CN,1644090772
412,Dicabisagan,17.0818,122.4157,72.99,89,88,9.26,PH,1644090772
413,Raisen,23.3333,77.8,54.32,35,0,4.23,IN,1644090772
414,Tondano,1.3038,124.9112,68.09,96,100,2.66,ID,1644090773
415,Kapit,2.0167,112.9333,73.08,100,100,1.41,MY,1644090773
416,Ternate,0.8,127.4,79.9,82,100,8.77,ID,1644090505
417,Udachnyy,66.4167,112.4,-32.03,100,87,2.89,RU,1644090234
418,Hanna,51.6334,-111.9018,40.51,90,100,13.0,CA,1644090774
419,Garca,-22.2106,-49.6561,83.39,89,89,7.76,BR,1644090774
420,Bongandanga,1.5,21.05,77.13,36,76,2.89,CD,1644090775
421,Caxito,-8.5785,13.6643,79.45,82,100,4.36,AO,1644090775
422,Sao Joao Da Barra,-21.6403,-41.0511,84.29,81,45,25.79,BR,1644090625
423,Banfora,10.6333,-4.7667,81.39,11,60,5.03,BF,1644090776
424,Evensk,61.95,159.2333,16.03,41,11,22.32,RU,1644090776
425,Gorontalo,0.5412,123.0595,73.54,94,68,3.8,ID,1644090776
426,Kamaishi,39.2667,141.8833,26.51,67,46,10.51,JP,1644090777
427,Alekseyevka,50.6309,38.6903,2.8,100,96,4.81,RU,1644090777
428,Ardakan,32.31,54.0175,48.58,22,0,5.55,IR,1644090777
429,Erenhot,43.6475,111.9767,3.22,89,5,7.85,CN,1644090197
430,Omboue,-1.5746,9.2618,77.32,86,29,7.05,GA,1644090778
431,Sargatskoye,55.6101,73.4972,9.0,84,100,7.16,RU,1644090778
432,Maroantsetra,-15.4333,49.7333,79.07,72,100,5.73,MG,1644090778
433,Sept-Iles,50.2001,-66.3821,9.12,36,40,9.22,CA,1644090779
434,Nyurba,63.2842,118.3319,-25.33,100,70,3.15,RU,1644090779
435,Macouria,4.9167,-52.3667,84.15,81,75,5.99,GF,1644090780
436,Birnin Kebbi,12.4539,4.1975,73.78,14,0,10.0,NG,1644090780
437,Boueni,-12.9025,45.0761,84.18,77,100,14.61,YT,1644090781
438,Elliot Lake,46.3834,-82.6331,12.29,75,100,6.13,CA,1644090781
439,Tagab,34.855,69.6492,40.86,59,100,2.64,AF,1644090781
440,Shubarkuduk,49.1447,56.4872,25.75,96,100,5.01,KZ,1644090782
441,Havoysund,70.9963,24.6622,29.28,70,19,31.76,NO,1644090782
442,Shubarshi,48.5872,57.1869,25.9,97,100,5.73,KZ,1644090782
443,Mikhaylovka,50.06,43.2379,7.25,96,16,8.12,RU,1644090783
444,Belmonte,-15.8631,-38.8828,75.7,80,75,9.51,BR,1644090783
445,La Cruz,23.9167,-106.9,74.14,43,2,6.71,MX,1644090783
446,Surt,31.2089,16.5887,62.08,40,11,6.8,LY,1644090784
447,Sitka,57.0531,-135.33,44.49,70,100,13.8,US,1644090587
448,Haines Junction,60.7522,-137.5108,22.95,74,100,5.75,CA,1644090385
449,Clyde River,70.4692,-68.5914,-27.17,75,40,10.36,CA,1644090784
450,Yekaterinovka,52.0508,44.3451,9.57,98,84,7.43,RU,1644090785
451,Key Biscayne,25.6937,-80.1628,82.02,69,27,1.99,US,1644090785
452,Gornopravdinsk,60.05,69.9,18.5,97,100,3.38,RU,1644090786
453,Wajir,1.7471,40.0573,88.12,26,100,9.75,KE,1644090786
454,Husavik,66.0449,-17.3389,17.51,96,100,27.89,IS,1644090786
455,Dorfen,48.2667,12.15,36.32,81,89,8.25,DE,1644090787
456,Remanso,-9.6179,-42.0831,86.23,48,55,7.43,BR,1644090787
457,Vancouver,49.2497,-123.1193,45.91,92,100,2.3,CA,1644090760
458,Freeport,40.6576,-73.5832,30.16,59,12,11.99,US,1644090788
459,Aljezur,37.3191,-8.8033,52.52,90,7,8.99,PT,1644090788
460,Xuddur,4.1213,43.8894,78.49,19,76,8.14,SO,1644090788
461,Uberlandia,-18.9186,-48.2772,83.41,57,40,6.91,BR,1644090789
462,San,13.3034,-4.8956,79.68,8,0,7.87,ML,1644090789
463,Victoria Point,-27.5833,153.3,69.15,90,94,1.99,AU,1644090194
464,Concarneau,47.875,-3.9225,50.77,80,98,14.61,FR,1644090790
465,Juneau,58.3019,-134.4197,38.84,98,100,6.87,US,1644090790
466,Shalazhi,43.0978,45.3608,25.95,79,82,3.33,RU,1644090791
467,Touros,-5.1989,-35.4608,88.7,63,2,13.06,BR,1644089910
468,Cilegon,-6.0174,106.0538,78.69,93,99,16.73,ID,1644090791
469,Nizhnevartovsk,60.9344,76.5531,15.82,92,100,6.71,RU,1644090792
470,Shimoda,34.6667,138.95,33.1,64,11,25.03,JP,1644090792
471,Liverpool,53.4106,-2.9779,49.82,87,100,7.0,GB,1644090512
472,Jaguaquara,-13.5306,-39.9708,68.45,95,100,6.55,BR,1644090793
473,Samarai,-10.6167,150.6667,79.92,82,100,8.86,PG,1644090794
474,Santa Rosa,14.3122,121.1114,78.78,73,90,14.83,PH,1644090794
475,Monticello,45.3055,-93.7941,19.81,63,20,18.41,US,1644090639
476,Kimbe,-5.5502,150.1429,77.54,87,100,2.95,PG,1644090795
477,Ongandjera,-17.8833,15.0667,75.2,45,100,6.17,NA,1644090795
478,Hualmay,-11.0964,-77.6139,75.76,69,24,12.17,PE,1644090795
479,Tommot,58.9564,126.2925,-13.58,100,100,2.44,RU,1644090213
480,Betioky,-23.7167,44.3833,77.29,71,100,14.83,MG,1644090796
481,Fairlie,55.756,-4.8556,40.91,91,100,5.99,GB,1644090797
482,Ayan,56.45,138.1667,-8.07,76,36,13.94,RU,1644090797
483,Kapuskasing,49.4169,-82.4331,6.89,47,75,8.05,CA,1644090798
484,Sangar,63.9242,127.4739,-34.31,99,100,3.22,RU,1644090799
485,San Cristobal,7.7669,-72.225,75.38,77,98,2.42,VE,1644090799
486,Aasiaat,68.7098,-52.8699,-6.77,84,99,7.14,GL,1644090800
487,Cabedelo,-6.9811,-34.8339,86.67,67,7,11.43,BR,1644090800
488,Cap-Aux-Meules,47.3821,-61.8597,23.05,93,100,29.93,CA,1644090800
489,Sioux Lookout,50.1001,-91.917,8.67,72,100,11.5,CA,1644090258
490,Mitu,1.1983,-70.1733,79.41,85,79,3.11,CO,1644090801
491,Nakonde,-9.3421,32.745,59.77,95,100,0.96,ZM,1644090801
492,Virginia Beach,36.8529,-75.978,42.06,51,63,10.0,US,1644090325
493,Vardo,70.3705,31.1107,26.74,79,100,27.96,NO,1644090802
494,North Bend,43.4065,-124.2243,54.25,87,40,8.05,US,1644090592
495,Saint-Pierre,-21.3393,55.4781,82.08,69,40,9.22,RE,1644090802
496,Saint-Joseph,-21.3667,55.6167,80.98,83,100,16.91,RE,1644090803
497,Buala,-8.145,159.5921,81.09,83,95,7.07,SB,1644090803
498,Nalbari,26.4456,91.4354,54.12,83,5,1.52,IN,1644090804
499,Mandera,3.9366,41.867,84.06,19,100,5.01,KE,1644090804
500,Ibra,22.6906,58.5334,67.84,28,0,4.92,OM,1644090804
501,Ngunguru,-35.6167,174.5,73.17,98,100,14.41,NZ,1644090805
502,Waingapu,-9.6567,120.2641,78.71,88,100,6.76,ID,1644090805
503,Banjar,-8.19,114.9675,82.26,89,93,3.09,ID,1644090119
504,Javanrud,34.7961,46.5172,35.24,93,84,4.76,IR,1644090806
505,Bang Saphan,11.2126,99.5117,73.27,94,23,3.27,TH,1644090806
506,Ust-Kuyga,70.0167,135.6,-39.64,100,100,4.16,RU,1644090806
507,Rajshahi,24.3667,88.6,56.39,77,0,5.01,BD,1644090807
508,Ambilobe,-13.2,49.05,73.63,94,98,4.76,MG,1644090807
509,Sao Felix Do Xingu,-6.6447,-51.995,85.53,68,100,2.04,BR,1644090808
510,Yuryevets,57.3201,43.1041,3.27,100,97,1.36,RU,1644090808
511,Natitingou,10.3042,1.3796,82.45,16,1,6.35,BJ,1644090808
512,Ucluelet,48.9329,-125.5528,46.09,91,100,2.51,CA,1644090809
513,Santa Maria,-29.6842,-53.8069,78.1,83,20,3.44,BR,1644090714
514,Belyy Yar,53.6039,91.3903,-11.15,89,56,2.24,RU,1644090810
515,Puerto Quijarro,-17.7833,-57.7667,89.13,54,98,2.95,BO,1644090811
516,Port Hedland,-20.3167,118.5667,84.25,84,100,6.91,AU,1644090811
517,Iquique,-20.2208,-70.1431,71.64,71,23,7.25,CL,1644090695
518,Grenville,12.1167,-61.6167,84.25,72,12,12.5,GD,1644090812
519,Ulladulla,-35.35,150.4667,67.87,78,100,9.95,AU,1644090813
520,Fonte Boa,-2.4959,-66.2662,77.22,85,100,1.19,BR,1644090813
521,Fortaleza,-3.7227,-38.5247,84.33,70,40,14.97,BR,1644090613
522,Vao,-22.6667,167.4833,79.9,87,48,9.13,NC,1644090814
523,Newport,51.5877,-2.9984,51.46,82,100,31.27,GB,1644090708
524,Soma,39.1855,27.6094,38.98,65,59,0.58,TR,1644090814
525,Azur,43.8,-1.3,45.68,99,0,3.89,FR,1644090814
526,West Fargo,46.875,-96.9004,15.85,73,100,14.97,US,1644090652
527,San Felipe,10.3399,-68.7425,85.46,42,38,9.82,VE,1644090522
528,Matale,7.4721,80.6234,64.72,98,78,3.87,LK,1644090815
529,Verkh-Usugli,52.7,115.1667,-12.26,98,9,3.27,RU,1644090816
530,Keetmanshoop,-26.5833,18.1333,81.52,41,11,4.61,NA,1644090816
531,La Rochelle,46.1667,-1.15,45.48,100,0,5.75,FR,1644090816
532,Lishui,28.4604,119.9103,39.99,84,100,2.75,CN,1644090817
533,Chapais,49.7834,-74.8492,-0.62,79,88,10.11,CA,1644090818
534,Emerald,-23.5333,148.1667,68.14,68,0,10.36,AU,1644090818
535,Tsurib,42.2368,46.8307,11.16,82,58,4.99,RU,1644090819
536,Vestmannaeyjar,63.4427,-20.2734,29.79,62,86,7.99,IS,1644090570
537,Craig,40.5153,-107.5464,31.19,75,6,3.69,US,1644090819
538,Sarh,9.1429,18.3923,80.51,24,0,0.0,TD,1644090819
539,Key West,24.5557,-81.7826,84.2,66,0,11.5,US,1644090658
540,Tobermory,45.2501,-81.6665,16.3,68,55,6.89,CA,1644090820
541,Syzran,53.1585,48.4681,23.86,97,100,4.07,RU,1644090820
542,Aklavik,68.2191,-135.0107,-31.97,66,40,3.44,CA,1644090821
543,Sault Sainte Marie,46.5168,-84.3333,18.16,63,75,5.75,CA,1644090821
544,Petropavlovsk-Kamchatskiy,53.0452,158.6483,16.39,62,0,11.18,RU,1644090579
545,Billings,45.7833,-108.5007,47.28,41,88,18.99,US,1644090822
546,Wanxian,30.8039,108.3897,41.9,95,100,6.44,CN,1644090822
547,Morki,56.4303,48.9947,25.83,98,100,2.77,RU,1644090823
548,Macedo De Cavaleiros,41.5382,-6.9611,45.32,68,5,5.03,PT,1644090824
549,Rijeka,45.3431,14.4092,48.78,74,75,5.99,HR,1644090824
550,Chimbote,-9.0853,-78.5783,75.7,70,9,12.37,PE,1644090824
551,Kawhia,-38.0651,174.8183,73.38,97,100,7.11,NZ,1644090825
552,Akyab,20.15,92.9,67.6,90,6,8.14,MM,1644090825
553,Watrous,51.6668,-105.4679,1.18,78,100,5.75,CA,1644090825
554,La Libertad,-2.2333,-80.9,83.86,65,0,13.8,EC,1644090826
555,Sabancuy,18.9667,-91.1833,73.72,83,73,17.54,MX,1644090826
556,Sirtich,41.8321,48.228,33.93,72,100,3.22,RU,1644090827
557,Lakes Entrance,-37.8811,147.981,52.16,86,2,5.46,AU,1644090827
558,Ekhabi,53.5102,142.9671,3.54,93,100,20.51,RU,1644090828
559,Raga,8.4596,25.678,71.85,19,100,4.54,SS,1644090828
560,Birmitrapur,22.4,84.7667,55.53,41,3,3.58,IN,1644090828
561,Mombetsu,44.3525,143.3525,21.85,86,100,11.77,JP,1644090829
562,Luena,-11.7833,19.9167,60.58,92,99,4.47,AO,1644090829
563,Araouane,18.9048,-3.5265,69.49,10,97,8.05,ML,1644090720
564,Ixtapa,20.7,-105.2,86.95,38,10,9.22,MX,1644090829
565,Akureyri,65.6835,-18.0878,17.53,93,100,3.44,IS,1644090830
566,Half Moon Bay,37.4636,-122.4286,64.58,57,0,4.61,US,1644090830
567,Bonfim,3.0833,-59.95,90.73,44,100,5.48,BR,1644090830
568,Bilibino,68.0546,166.4372,-15.63,93,15,4.59,RU,1644090831
569,Palana,59.1167,159.9667,3.07,86,100,7.67,RU,1644090831
570,Grand-Santi,4.25,-54.3833,78.76,93,49,3.74,GF,1644090831
